Cedente,% del saldo nominal
pendiente de vencimiento de
las participaciones
hipotecarias en la cartera
auditada,% del saldo nominal
pendiente de vencimiento
de los certificados de
transmisión de hipoteca en
la cartera auditada
CAJA CASTILLA
LA MANCHA,86,46%,13,54%
CREDIFIMO,81,66%,18,34%
BANKPIME,97,14%,2,86%
