CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 24
(División por Saldo Actual)

VENCIMIENTO
VENCIMIENTO
RESIDUAL TIPO ACTUAL SALDO
SALDO INICIAL PONDERADO Min. TIPO Máx. TIPO
SALDO ACTUAL (euros) NUM SALDO ACTUAL EUROS PONDERADO POR PONDERADO POR ACTUAL
ACTUAL % POR SALDO INICIAL ACTUAL ACTUAL
SALDO ACTUAL SALDO ACTUAL MEDIO
(meses)
(meses)
0,00 - 14.999,99 181 1 .384.387,24 0,26 321 308 5,59 7 .648,55 2,80 5,95
15.000,00 - 29.999,99 582 1 4.456.587,81 2,75 259 228 4,36 2 4.839,50 2,60 6,00
30.000,00 - 44.999,99 1120 4 1.856.728,66 7,96 253 219 3,88 3 7.372,08 2,48 5,95
45.000,00 - 59.999,99 1033 5 4.442.464,22 10,35 270 235 3,58 5 2.703,26 2,44 5,95
60.000,00 - 74.999,99 1016 6 8.387.378,51 13,00 289 258 3,49 6 7.310,41 2,60 5,09
75.000,00 - 89.999,99 787 6 4.611.679,60 12,28 305 275 3,47 8 2.098,70 2,60 4,15
90.000,00 - 104.999,99 625 6 0.880.231,25 11,57 320 292 3,46 9 7.408,37 2,60 6,10
105.000,00 - 119.999,99 528 5 9.122.671,57 11,24 324 298 3,44 1 11.974,76 2,60 4,10
120.000,00 - 134.999,99 327 4 1.577.158,73 7,90 331 308 3,49 1 27.147,27 2,60 4,10
135.000,00 - 149.999,99 266 3 7.834.228,63 7,19 342 322 3,55 1 42.233,94 2,60 4,77
150.000,00 - 164.999,99 181 2 8.523.945,71 5,42 342 325 3,61 1 57.590,86 2,60 4,10
165.000,00 - 179.999,99 130 2 2.367.150,72 4,25 342 324 3,62 1 72.055,01 2,60 4,50
180.000,00 - 194.999,99 69 1 2.847.038,46 2,44 342 323 3,58 1 86.188,96 2,72 4,25
195.000,00 - 209.999,99 31 6 .283.294,72 1,19 344 326 3,51 2 02.686,93 2,67 4,00
210.000,00 - 224.999,99 23 4 .952.976,13 0,94 320 298 3,60 2 15.346,79 2,92 4,00
225.000,00 - 239.999,99 8 1 .848.500,32 0,35 325 295 2,94 2 31.062,54 2,79 3,19
240.000,00 - 254.999,99 8 1 .975.578,26 0,38 316 288 3,31 2 46.947,28 2,90 4,10
255.000,00 - 269.999,99 5 1 .318.410,21 0,25 359 343 3,68 2 63.682,04 3,00 3,98
270.000,00 - 284.999,99 3 8 28.800,10 0,16 304 280 3,30 2 76.266,70 2,94 3,95
285.000,00 - 299.999,99 1 2 99.000,00 0,06 361 350 2,94 2 99.000,00 2,94 2,94
300.000,00 - 314.999,99 1 3 09.862,78 0,06 253 225 2,82 3 09.862,78 2,82 2,82
TOTALES 6.925 5 26.108.073,63 100,00 308 281 3,57 75.972,29 2,443 6,10
