,Fecha,Emisión Bonos,Emisión Bonos
Fondo de Titulización,,,
,Constitución,Inicial,Saldo 30/09/2005
,,,
ACTIVOS,,,
FTPYME TDA 3, FONDO DE TITULIZACIÓN DE ACTIVOS,14-feb-02,225.055.000€,77.712.839€
FTPYME TDA 4, FONDO DE TITULIZACIÓN DE ACTIVOS,10-oct-03,250.000.000€,156.363.295€
FTPYME TDA 5, FONDO DE TITULIZACIÓN DE ACTIVOS,29-dic-04,200.000.000€,165.322.340€
FTPYME TDA SABADELL 1, FONDO DE TITULIZACIÓN,3-jun-02,600.000.000€,273.175.797€
DE ACTIVOS,,,
FTPYME TDA SABADELL 2, FONDO DE TITULIZACIÓN,12-nov-03,500.000.000€,500.000.000€
DE ACTIVOS,,,
FTPYME TDA CAM 1, FONDO DE TITULIZACIÓN DE,17-jun-02,600.000.000€,257.967.966€
ACTIVOS,,,
FTPYME TDA CAM 2, FONDO DE TITULIZACIÓN DE,17-nov-04,750.000.000€,648.714.723€
ACTIVOS,,,
CIBELES III FTPYME, FONDO DE TITULIZACIÓN DE,19-dic-03,500.000.000€,500.000.000€
ACTIVOS,,,
FTPYME TDA BANCA MARCH, FONDO DE
TITULIZACIÓN DE ACTIVOS,25-oct-04,200.000.000€,156.424.398€
,,,
CM BANCAJA 1, FONDO DE TITULIZACIÓN DE
ACTIVOS,28-sep-05,556.200.000€,556.200.000€
,,,
EAS SPAIN, FONDO DE TITULIZACIÓN DE ACTIVOS,25-jul-02,314.971.503€,34.755.868€
TDA AUTO ABS 2002, FONDO DE TITULIZACIÓN DE
ACTIVOS,8-jul-02,950.000.000€,471.475.057€
GLOBALDRIVE (SPAIN) 2002-1 TDA, FONDO DE,3-dic-02,488.000.000€,488.000.000€
TITULIZACIÓN DE ACTIVOS,,,
GLOBALDRIVE DEALER FLOORPLAN (SPAIN) TdA,
FONDO DE TITULIZACIÓN DE ACTIVOS,5-abr-04,Máximo
3.000.000.000€,766.187.485€
GLOBALDRIVE SERIES 3 (SPAIN) TDA, FONDO DE
TITULIZACIÓN DE ACTIVOS,10-may-05,499.999.948€,490.360.897€
BANCO FINANTIA SOFINLOC Nº 1, FONDO DE
TITULIZACIÓN DE ACTIVOS,1-jul-04,Máximo
150,000,000€,78.346.206€
BANCO FINANTIA SOFINLOC TDA Nº 2, FONDO DE
TITULIZACIÓN DE ACTIVOS,11-mar-05,Máximo
500.000.000€,47.454.633€
,,,
CAP-TDA 1, FONDO DE TITULACION DE ACTIVOS,25-jun-03,300.000.000€,300.000.000€
FONDO DE TITULIZACIÓN DE ACTIVOS KWH-1,30-abr-04,202.000.000€,202.000.000€
,,,
CÉDULAS TDA 1, FONDO DE TITULIZACIÓN DE,12-jun-03,1.750.000.000€,1.750.000.000€
ACTIVOS,,,
