,Bonos Serie B,,,,
Vida media (años),5,35,4,94,4,60,4,25,3,97
TIR,2,511%,2,511%,2,511%,2,511%,2,511%
Duración (años),4,84,4,50,4,21,3,92,3,67
Vencimiento final,20 10 2014,20 01 2014,19 07 2013,19 10 2012,19 04 2012
(en años),8,86,8,11,7,61,6,86,6,36
