% TAA:,9%,,,12%,,,15%
,Bonos Serie B,,,,,,
Vida media (años),11,44,,9,51,,,7,87,
TIR,5,30%,,5,30%,,,5,30%,
Duración (años),8,07,,7,04,,,6,06,
Fecha de liquidación anticipada del,30-sep-24,,28-dic-21,,,30-dic-19,
Fondo al 10%,,,,,,,
