,Euros
Gastos de Constitución,
Tasas CNMV,49,973.53
Tasas AIAF,46,400.00
Tasas SOCIEDAD DE SISTEMAS,1,160.00
Entidad de Calificación, Sociedad Gestora, asesores
legales y auditores, gastos notariales, publicaciones y
otros,2,595,586.30
Subtotal,2,693,119.83
Gastos de Emisión y Colocación,
Comisión de Dirección,80,000.00
Subtotal,80,000.00
TOTAL,2,773,119.83
