15% TAA,,,,,,,,,,,,,
Bono,,,Vida Media,,,TIR,,,Duración,,,Fecha fin,
Clase A1 0,90 3,726% 0,855 22-ago-08
Clase A2 5,88 3,841% 4,936 22-nov-18
Clase B 8,16 3,904% 6,675 22-nov-18
Clase C 8,16 4,018% 6,637 22-nov-18
Clase D 8,16 4,405% 6,514 22-nov-18
Clase E 8,16 5,773% 6,11 22-nov-18,,,,,,,,,,,,,
