Clase C,A / A / A2,75.000.000,3,75%
Clase D,BBB / BBB / Baa2,34.000.000,1,7%
Clase E,BB / BB+ / Ba2,21.000.000,1,05%
TOTAL,-,2.000.000.000,100%
