17% TAA,,,,,,,,,,,,,
Bono,,,Vida Media,,,TIR,,,Duración,,,Fecha fin,
Clase A1 0,82 3,726% 0,782 22-may-08
Clase A2 5,26 3,841% 4,483 22-ago-17
Clase B 7,26 3,904% 6,040 22-ago-17
Clase C 7,26 4,018% 6,009 22-ago-17
Clase D 7,26 4,405% 5,907 22-ago-17
Clase E 7,26 5,773% 5,57 22-ago-17,,,,,,,,,,,,,
