,Nombre,,,Cargo en sociedades cotizadas y/o relevantes,
D. Francisco Javier Soriano
Arosa,,,Consejero Delegado de EBN Banco de Negocios, S.A.
Presidente del Consejo de EBN Capital, S.G.C.R., S.A.
Vocal del Consejo de Cartera Nuvalia, S.L.,,
