,TAA 15% TAA 17% TAA 20%
A1,Vida Media 0.83 0.75 0.66
TIR 4.39% 4.40% 4.40%
Duración 0.78 0.71 0.63
Call 10% 22-nov-19 22-may-18 22-nov-16
A2,Vida Media 4.22 3.74 3.19
TIR 4.45% 4.45% 4.45%
Duración 3.65 3.27 2.83
Call 10% 22-nov-19 22-may-18 22-nov-16
A3,Vida Media 11.33 10.00 8.59
TIR 4.50% 4.50% 4.50%
Duración 8.56 7.77 6.87
Call 10% 22-nov-19 22-may-18 22-nov-16
B,Vida Media 8.17 7.40 6.37
TIR 4.57% 4.57% 4.57%
Duración 6.46 5.96 5.26
Call 10% 22-nov-19 22-may-18 22-nov-16
C,Vida Media 8.17 7.40 6.37
TIR 4.62% 4.62% 4.62%
Duración 6.44 5.95 5.25
Call 10% 22-nov-19 22-may-18 22-nov-16
D,Vida Media 8.17 7.40 6.37
TIR 4.83% 4.83% 4.83%
Duración 6.38 5.89 5.21
Call 10% 22-nov-19 22-may-18 22-nov-16
E,Vida Media 8.17 7.40 6.37
TIR 6.20% 6.20% 6.20%
Duración 5.98 5.55 4.93
Call 10% 22-nov-19 22-may-18 22-nov-16
