Principal sobre el que se calculan los intereses del Periodo de Devengo en euros: 100.000,,,,,,,,
,,,,,,,,Euros
Intereses devengados por un Bono A:,,100.000,x,90/360,x,2,310%,=,577,50
Intereses devengados por un Bono B:,,100.000,x,90/360,x,2,680%,=,670,00
Intereses devengados por un Bono C:,,100.000,x,90/360,x,3,180%,=,795,00
Intereses devengados por un Bono D:,,100.000,x,90/360,x,5,580%,=,1.395,00
