,,%,Importe (euros)
,Tramo Nacional,6,96%,39.500.000,00
Bono A,,,
,Tramo Internacional,93,04%,527.800.000,00
,,,
,Tramo Nacional,0,00%,-
Bono B,,,
,Tramo Internacional,100,00%,19.200.000,00
,,,
,Tramo Nacional,33,33%,2.000.000,00
Bono C,,,
,Tramo Internacional,66,67%,4.000.000,00
,,,
,Tramo Nacional,33,33%,2.500.000,00
Bono D,,,
,Tramo Internacional,66,67%,5.000.000,00
,,,
