,,Importe de Principal no vencido que,,,,,
,,,representan sus Préstamos,,,,
,,,,Hipotecarios 1 (Euros),,,
Cajamar,368.386.445,15,,,,,,
Caixa Tarragona,154.410.324,25,,,,,,
Total,522.796.769,40,,,,,,
