Mortgage loan portfolio as of 31.03.2005
Classification by Provinces,,
Province,Loans
%,Outstanding Principal
(EUR) %
Corunna,90 0.59,10,512,805.82 0.60
Álava,20 0.13,4,042,979.81 0.23
Albacete,78 0.51,5,919,862.77 0.34
Alicante,660 4.33,70,198,356.01 4.01
Almería,94 0.62,10,276,733.81 0.59
Asturies,19 0.12,1,425,171.26 0.08
Ávila,1 0.01,49,170.47 0.00
Badajoz,5 0.03,565,925.52 0.03
Balearic Isles,535 3.51,81,227,285.21 4.65
Barcelona,1,061 6.95,166,800,891.48 9.54
Burgos,16 0.10,2,295,197.44 0.13
Cáceres,11 0.07,1,888,624.75 0.11
Cádiz
Cantabria,86 0.56
4 0.03,10,199,485.74 0.58
682,235.01 0.04
Castellón,1,332 8.73,129,514,491.31 7.41
Ciudad Real,59 0.39,6,169,631.23 0.35
Córdoba,16 0.10,2,207,045.63 0.13
Cuenca,36 0.24,2,994,554.27 0.17
Girona,92 0.60,10,602,884.10 0.61
Granada,50 0.33,5,950,918.32 0.34
Guadalajara,93 0.61,13,232,065.61 0.76
Guipúzcoa,152 1.00,13,804,307.42 0.79
Huelva,83 0.54,8,261,328.47 0.47
Huesca,2 0.01,196,545.16 0.01
Jaén,7 0.05,698,143.21 0.04
La Rioja,83 0.54,10,104,208.25 0.58
