,Series E Bonds,,,,
Average life (years),12.85,11.26,9.82,8.73,7.83
IRR,6.113%,6.113%,6.113%,6.113%,6.113%
Duration,9.98,8.94,7.97,7.21,6.56
Final maturity,25 07 2023,26 07 2021,25 07 2019,25 01 2018,25 10 2016
(in years),18.25,16.26,14.25,12.76,11.50
