,Series C Bonds,,,,
Average life (years),12.79,11.10,9.68,8.56,7.65
IRR,2.801%,2.801%,2.801%,2.801%,2.801%
Duration,10.13,9.01,8.03,7.23,6.56
Final maturity,25 07 2023,26 07 2021,25 07 2019,25 01 2018,25 10 2016
(in years),18.25,16.26,14.25,12.76,11.50
