,Series B Bonds,,,,
Average life (years),12.79,11.10,9.68,8.56,7.65
IRR,2.449%,2.449%,2.449%,2.449%,2.449%
Duration,10.63,9.41,8.35,7.49,6.76
Final maturity,25 07 2023,26 07 2021,25 07 2019,25 01 2018,25 10 2016
(in years),18.25,16.26,14.25,12.76,11.50
