Presidente:,D. Juan San Miguel Chápuli
Consejeros:,D. Fernando Cánovas Atienza
D. Hernán Cortés Lobato
D. Ernest Gil Sánchez
D. Santiago Armada Martínez-Campos
D. Xavier Jaumandreu Patxot
D. Josep Ramón Montserrat Miró
Secretario (no consejero):,D. Félix López Antón
Vicesecretario (no consejero):,Dña. Roser Vilaró Vives
