,SERIE A3G,,SERIE B,
ENTIDAD,Nº,IMPORTE,Nº,IMPORTE
Banco Pastor, S.A.
Calyon, Sucursal en España
Merrill Lynch International,168
168
168,16.800.000
16.800.000
16.800.000,53
53
52,5.300.000
5.300.000
5.200.000
TOTAL,504,50.400.000,158,15.800.000
