,SERIE A1,,SERIE A2,
ENTIDAD,Nº,IMPORTE,Nº,IMPORTE
Banco Pastor, S.A.
Calyon, Sucursal en España
Merrill Lynch International,867
867
866,86.700.000
86.700.000
86.600.000,855
855
856,85.500.000
85.500.000
85.600.000
TOTAL,2.600,260.000.000,2.566,256.600.000
