,Bonos A1,Bonos A2,Bonos A3G,Bonos B,Bonos C,Bonos D,Bonos E
Euribor 2 meses,,,,,,,
,,,,,,,
Tipo Interés Nominal,3,463%,3,553%,3,433%,3,643%,3,753%,4,003%,5,553%
