,SERIE E,
ENTIDAD,Nº,IMPORTE
Banco Pastor, S.A.
Calyon, Sucursal en España
Merrill Lynch International,42
42
42,4.200.000
4.200.000
4.200.000
TOTAL,126,12.600.000
