,SERIE C,,SERIE D,
ENTIDAD,Nº,IMPORTE,Nº,IMPORTE
Banco Pastor, S.A.
Calyon, Sucursal en España
Merrill Lynch International,52
52
53,5.200.000
5.200.000
5.300.000,63
63
63,6.300.000
6.300.000
6.300.000
TOTAL,157,15.700.000,189,18.900.000
