,Serie,,,Moody´s,,,S&P,
Serie A1,,,Aaa,,,AAA,,
Serie A2,,,Aaa,,,AAA,,
Serie A3G,,,Aaa,,,AAA,,
Serie B,,,Aa2,,,AA,,
Serie C,,,A2,,,A,,
Serie D,,,Baa3,,,BBB,,
Serie E,,,Ba3,,,BB,,
