,,,,30.06.2006,,,30.06.2005,,,Variación (en %),
Número de acciones (miles),,,261.685,,,65.421,,,0,00%,,
Número de accionistas,,,72.443,,,74.060,,,-2,18%,,
Número de empleados,,,4.277,,,3.956,,,8,11%,,
Número de oficinas nacionales,,,571,,,563,,,1,42%,,
