,,,,30.06.2006,,,30.06.2005(**),,,Variación (en %)
Cotización (en euros),,,10,25,,,8,25,,,24,24%,
Valor de mercado (en miles de euros),,,2.682.276,,,2.158.905,,,24,24%,
Beneficio neto atribuido al Grupo,,,84.091,,,63.821,,,31,76%,
Valor contable por acción (en euros),,,4,09,,,3,81,,,7,34%,
PER (Precio/beneficio; veces) (*),,,15,95,,,16,91,,,-5,71%,
P/VC (precio/valor contable ;veces),,,2,51,,,2,17,,,15,67%,
