Euribor 3 meses,Bonos A1,Bonos A2,,Bonos B,Bonos C,Bonos D,Bonos E
,,,Bonos A3G,,,,
,,,,,,,
Tipo Interés Nominal,3,556%,3,646%,3,526%,3,736%,3,846%,4,096%,5,646%
