CUENTA DE PERDIDAS Y GANANCIAS CONSOLIDADO 2005 2004
A) MARGEN DE INTERMEDIACION 350.493 313.139
B) MARGEN ORDINARIO 500.994 453.541
C) MARGEN DE EXPLOTACION 238.609 194.559
D) RESULTADO ANTES DE IMPUESTOS 203.242 153.897
E) RESULTADO CONSOLIDADO DEL EJERCICIO 198.785 154.432
