ACTIVO 2005 2004
CAJA Y DEPÓSITOS EN BANCOS CENTRALES 476.192 220.714
CARTERA DE NEGOCIACIÓN 72.394 32.902
OTROS AC. FINANC. A VALOR RAZONABLE CON CAMBIOS EN PYG 0 0
ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA 4.231.718 4.237.173
INVERSIONES CREDITICIAS 14.303.917 11.523.044
CARTERA DE INVERSIÓN A VENCIMIENTO 38.130 332.850
AJUSTES A ACTIV. FINAN. POR MACROCOBERTURAS 0 0
DERIVADOS DE COBERTURA 40.261 20.721
ACTIVOS NO CORRIENTES EN VENTA 892 1.701
PARTICIPACIONES 236.666 256.290
CONTRATOS DE SEGUROS VINCULADOS A PENSIONES 3.196 2.053
ACTIVOS POR REASEGUROS 0 0
ACTIVO MATERIAL E INTANGIBLE 471.249 454.039
ACTIVOS FISCALES 132.008 134.479
OTROS ACTIVOS Y PERIODIFICACIONES 35.205 12.806
TOTAL ACTIVO 20.041.828 17.228.772
