Nombre,Cargo en el
Banco,Otras sociedades en las
que presta actividad,Cargos o funciones
que se ostentan o
realizan en la
Sociedad indicada
Emilio Osuna Heredia,Director de
Coordinación
SGC (Santander
Global Connect),AIAF, Mercado de Renta
Fija,Consejero
Fermín Colomés Graell,Director de
Operaciones y
Servicio SCH,Open bank Santander
Consumer, S.A.,Consejero
,,Geoban S.A.,Presidente
Santos González
Sánchez,Director de
Negocio
Hipotecario SCH,Hipotebansa, EFC,Consejero y Director
General
Francisco Pérez
Mansilla,Director de
Empresas y
PYMES SCH,Santander Central
Hispano Lease, SA, EFC,Consejero
,,Santander Central
Hispano Multileasing,
S.A. EFC,Consejero
,,,Consejero
,,Santander Central
Hispano, Factoring y
Confirming, S.A., EFC,
Eduardo García
Arroyo,Director de
Tecnología SCH,Ingeniería de Software
Bancario, S.L.,Consejero
Marcelo Alejandro
Castro,Tesorero para
Europa SCH,MEFF, Mercados
Españoles Futuros
Financieros,Consejero
,,Holding Mercados S.A.,Consejero
José Antonio Álvarez
Álvarez,Director General
Financiero
SCH,Santander Consumer
Finance,Consejero
José Antonio Soler
Ramos,Director de
Gestión
Financiera
SCH,Santander Comercial
Paper S.A.U,Presidente
,,Santander Perpetual,
S.A.U,Presidente
,,Santander Consumer
Finance,Consejero y Presidente
,,Santander Finance
Preferred, S.A.U.,Consejero y Presidente
,,Santander Issuances
S.A.U.,Consejero y Presidente
,,Santander International
Debt S.A.U.,Consejero y Presidente
