Deudores,Principal
Pendiente,(%)
Principal
Pendiente,Nº. de
Préstamos
Deudor 1,500.000,00,0,02,1
Deudor 2,500.000,00,0,02,1
Deudor 3,500.000,00,0,02,1
Deudor 4,500.000,00,0,02,1
Deudor 5,500.000,00,0,02,2
Deudor 6,500.000,00,0,02,1
Deudor 7,500.000,00,0,02,1
Deudor 8,447.500,00,0,02,2
Deudor 9,400.000,00,0,02,1
Deudor 10,375.136,85,0,02,1
Deudor 11,366.785,75,0,02,1
Deudor 12,340.765,25,0,02,3
Deudor 13,338.333,34,0,02,1
Deudor 14,303.855,07,0,01,2
Deudor 15,300.000,00,0,01,1
Deudor 16,300.000,00,0,01,1
Deudor 17,300.000,00,0,01,1
Deudor 18,300.000,00,0,01,1
Deudor 19,300.000,00,0,01,1
Deudor 20,300.000,00,0,01,1
Resto de Deudores,2.183.856.140,61,99,71,222.217
TOTALES:,2.191.728.516,87,100,00,222.242
