Intervalo Importes Préstamos
(miles de euros
salvo el total, en
(euros) euros) % nº %
39,60 - 5.999,99 209.168,09 7,12 73.593 33,11
6.000,00 - 11.999,99 492.523,53 16,78 64.838 29,17
12.000,00 – 17.999,99 461.265,97 15,71 33.436 15,04
18.000,00 – 23.999,99 406.569,80 13,85 20.702 9,31
24.000,00 – 29.999,99 218.813,86 7,45 8.616 3,87
30.000,00 – 35.999,99 272.749,97 9,29 8.856 3,98
36.000,00 – 41.999,99 103.938,84 3,54 2.775 1,24
42.000,00 – 47.999,99 64.592,66 2,20 1.479 0,66
48.000,00 – 53.999,99 85.007,91 2,89 1.713 0,77
54.000,00 – 59.999,99 41.894,36 1,42 753 0,33
60.000,00 – 65.999,99 133.386,97 4,54 2.211 0,99
66.000,00 – 71.999,99 20.044,04 0,68 294 0,13
72.000,00 – 77.999,99 25.804,00 0,87 353 0,15
78.000,00 – 83.999,99 17.211,58 0,58 215 0,09
84.000,00 – 89.999,99 15.533,02 0,52 181 0,08
90.000,00 – 95.999,99 28.418,32 0,96 312 0,14
96.000,00 - 101.999,99 22.950,75 0,78 233 0,10
102.000,00 -107.999,99 13.510,79 0,46 130 0,05
108.000,00 - 113.999,99 12.942,05 0,44 118 0,05
114.000,00 - 119.999,99 10.108,17 0,34 87 0,03
120.000,00 – 169.999,99 97.356,23 3,31 708 0,31
170.000,00 – 219.999,99 51.347,88 1,74 267 0,12
220.000,00 – 269.999,99 26.037,22 0,88 108 0,04
270.000,00 – 319.999,99 38.702,78 1,31 131 0,05
320.000,00 – 369.999,99 9.632,21 0,32 28 0,01
370.000,00 – 419.999,99 8.978,27 0,30 23 0,01
420.000,00 – 469.999,99 8.325,31 0,28 19 0,00
470.000,00 – 519.999,99 19.780,61 0,67 40 0,01
520.000,00 – 569.999,99 2.732,82 0,09 5 0,00
570.000,00 – 619.999,99 6.605,06 0,22 11 0,00
620.000,00 – 669.999,99 1.311,11 0,04 2 0,00
670.000,00 – 719.999,99 0,00 0,00 0 0,00
720.000,00 – 769.999,99 740,76 0,02 1 0,00
770.000,00 – 819.999,99 0,00 0,00 0 0,00
820.000,00 – 3.231.484,05 6.392,13 0,21 4 0,00
Totales: 2.934.377.221,16 100,00 222.242 100,00
