,,,,,,,31.12.2011,,(A-B)/(B)
,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,
,,,,,,5.090,,22,98,
,,,,,,,3.413,,-1,67
,,,,,,,3.466,,-6,32
,,,,,,,277,,15,13
,,,,,,,3.743,,-4,73
,,,,,,,429,,-7,08
,,,,,,,433,,-6,93
,,,,,,,,,
,CUENTA DE RESULTADOS (millones de euros),,,,,,,,
,,,,,,,71,,55,10
,,,,,,,104,,58,54
,,,,,,,21,,-315,23
,,,,,,,0,,-19.761,83
,,,,,,5,,-1.464,07,
,,,,,,,5,,-1.464,07
,,,,,,5,,-1.464,07,
,,,,,,,5,,-1.464,07
,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,
,,,,,,,0,79,,
,,,,,,,1,21,,
,,,,,,,0,10,,
,,,,,,0,15,,,
,,,,,,,0,15,,
,,,,,,,57,70,,
,,,,,,,63,70,,
,,,,,,,6,07,,
,,,,,,2,02,,,
,,,,,,,2,02,,
,,,,,,,43,77,,
,,,,,,,,,
,RATIOS DE CAPITAL (%),,,,,,,,
,,,,,,,12,86,,
,,,,,,,0,89,,
,,,,,,,13,75,,
