Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
5,5000 - 5,7499,2 0,03,,35.123,60 0,01,,5,50,
5,7500 - 5,9999,2 0,03,,54.829,74 0,01,,5,95,
6,0000 - 6,2499,2 0,03,,63.233,33 0,01,,6,00,
6,5000 - 6,7499,1 0,01,,57.828,60 0,01,,6,50,
Total 7.873 100,00 601.171.682,74 100,00,,,,,,
Media ponderada: 2,865 %
Media simple: 2,981 %
Mínimo: 0,795 %
Máximo: 6,500 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,2,865,%
,Media simple:,,,,2,981,%
,Mínimo:,,,,0,795,%
,Máximo:,,,,6,500,%
