,Bonos Serie A,,
Vida media (años),7,30,6,73,6,23
TIR,0,525%,0,525%,0,525%
Duración (años),7,07,6,53,6,05
Vencimiento final,16 08 2032,16 05 2031,16 05 2030
(en años),19,08,17,83,16,83
