Cartera de préstamos hipotecarios al día 13.06.2013
Clasificación por Índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos hipotecarios
%,Principal pendiente
(euros) %,%Margen*
Euribor / Mibor 12 meses,7.751 98,45,595.834.203,82 99,11,0,71
Euribor / Mibor 6 meses,10 0,13,741.274,00 0,12,0,47
IRPH Cajas de Ahorro,16 0,20,442.770,83 0,07,0,36
IRPH conjunto entidades,96 1,22,4.153.434,09 0,69,0,22
Total 7.873 100,00 601.171.682,74 100,00 0,71,,,
