,,30.09.2006
(A),,31.12.2005,,30.09.2005
(C),Variación interanual,,
,,,,(B),,,,,
,,,,,,,Importe,,?% (A)/(C)
,,,,,,,,,
,Activos Totales,76.888.420,,62.264.200,,59.080.647,17.807.773,,30,14
,Activos Totales extitulización,79.798.717,,65.673.366,,62.691.480,17.107.237,,27,29
,Activos Totales Medios,69.748.959,,56.833.788,,54.497.247,15.251.712,,27,99
,Crédito a la Clientela Bruto,61.129.880,,49.483.943,,46.315.318,14.814.562,,31,99
,Crédito a la Clientela Bruto extitulización,64.040.177,,52.893.109,,49.926.151,14.114.026,,28,27
,Recursos Gestionados,73.008.467,,60.389.986,,56.391.948,16.616.519,,29,47
,Recursos Ajenos en Balance,61.658.787,,50.535.503,,46.511.362,15.147.425,,32,57
,Otros Recursos Gestionados (1),11.349.680,,9.854.483,,9.880.586,1.469.094,,14,87
,Volumen de Negocio,134.138.347,,109.873.929,,102.707.266,31.431.081,,30,60
,Volumen de Negocio extitulización,137.048.644,,113.283.095,,106.318.099,30.730.545,,28,90
,Recursos Propios,2.572.316,,2.346.530,,2.241.620,330.696,,14,75
,Recursos Propios Medios,2.441.791,,2.221.253,,2.124.199,317.592,,14,95
,,,,,,,,,
,,,,,,,,,
,CUENTA DE RESULTADOS (miles de euros),,,,,,,,
,Margen de intermediación,851.424,,974.207,,715.883,135.541,,18,93
,Margen Ordinario,1.152.381,,1.359.343,,990.652,161.729,,16,33
,Margen de Explotación,695.994,,798.295,,570.724,125.270,,21,95
,Beneficio antes de Impuestos,472.426,,542.085,,403.074,69.352,,17,21
,Beneficio después de Impuestos,330.878,,393.284,,279.298,51.580,,18,47
