Cartera de préstamos hipotecarios al día 31.12.2006
Clasificación por relación principal pendiente /Valor Tasación,,,
Intervalos Relación Préstamos Hipotecarios Principal pendiente (%) Principal
pendiente/
% (euros) %
V. Tasación *,,,
45,01 - 50,00,619 2,89,73.291.914,81 2,37,47,62
50,01 - 55,00,748 3,49,96.444.526,76 3,12,52,59
55,01 - 60,00,903 4,22,121.575.074,27 3,93,57,65
60,01 - 65,00,1.125 5,25,161.501.782,65 5,22,62,68
65,01 - 70,00,1.927 9,00,270.030.450,90 8,72,67,75
70,01 - 75,00,2.026 9,46,294.628.334,14 9,52,72,72
75,01 - 80,00,5.695 26,59,848.118.346,61 27,40,77,92
80,01 - 85,00,1.757 8,20,261.437.815,25 8,45,82,73
85,01 - 90,00,1.313 6,13,211.128.056,70 6,82,87,69
90,01 - 95,00,1.030 4,81,175.999.397,80 5,69,92,53
95,01 - 100,00,2.618 12,22,444.163.464,50 14,35,97,83
Total 21.417 100,00 3.095.525.633,65 100,00,,,
Media Pondera da: 76,34 %
Media Simple: 73,80 %
Mínimo: 1,41 %
Máximo: 100,00 %
*Relación Pri nci pal pendiente /V. Tasación s on medias p onderadas por el princip al pendient e.,,,
