RIESGOS,LT,LGP,PP,PH,CTO,CC,DC,A,TARJ,DCV,ECTO,ECC
ANALISTAS SR,400.000,300.000,200.000,300.000,150.000,150.000,150.000,60.000,3.000,60.000,60.000,60.000
JEFA ANALISIS,500.000,400.000,200.000,500.000,200.000,200.000,200.000,100.000,3.000,100.000,100.000,100.000
DIR. RIESGOS,600.000,600.000,300.000,600.000,300.000,300.000,300.000,200.000,6.000,200.000,200.000,200.000
