Retrasos en el pago de cuotas vencidas al día 05.02.2009,,
Intervalo Préstamos Principal pendiente Principal vencido no pagado
Días hipotecarios de vencer % s/ Principal
pendiente total,,
Corriente de pagos,23.889 2.335.873.727,10,
Entre 1 y 15 días,1.137 122.478.424,99,188.292,52 0,0073
Entre 16 y 30 días,425 47.799.047,68,69.582,99 0,0027
Entre 31 y 60 días,399 48.610.295,61,144.584,93 0,0056
Entre 61 y 90 días,108 13.411.208,30,64.223,97 0,0025
Total 25.958 2.568.172.703,68 466.684,41 0,0182,,
