,,,,31.12.2007,31.12.2007,31.12.2006,31.12.2006,(A)/(B)
,,,,,,,,
BALANCE (millones de euros),BALANCE (millones de euros),,,,,,,
,,,,537,,480,,1,015
,,,,,537,,480,
,,,,495,,415,,1,020
,,,,,495,,415,
,,,,466,,428,,0,979
,,,,,466,,428,
,,,,23,,20,,0,784
,,,,,23,,20,
,,,,489,,448,,0,969
,,,,,489,,448,
,,,,33,,29,,1,013
,,,,,33,,29,
,,,,33,,29,,1,023
,,,,,33,,29,
,,,,,,,,
,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),CUENTA DE RESULTADOS (millones de euros),,,,,,,
,,,,,,,,
,,,,11,,9,,1,060
,,,,,11,,9,
,,,,13,,11,,1,085
,,,,,13,,11,
,,,,13,,12,,1,160
,,,,,13,,12,
,,,,4,,4,,1,287
,,,,,4,,4,
,,,,2,,2,,0,898
,,,,,2,,2,
,,,,2,,2,,0,910
,,,,,2,,2,
,,,,,,,,
,,,,,,,,
RATIOS RELEVANTES (%),RATIOS RELEVANTES (%),,,,,,,
,,,,,,,,
,,,,0,83,,0,91,,
,,,,,0,83,,0,91,
,,,,6,33,,6,77,,
,,,,,6,33,,6,77,
,,,,0,41,,0,46,,
,,,,,0,41,,0,46,
,,,,0,67,,0,70,,
,,,,63,30,,63,70,,
,,,,,63,30,,63,70,
,,,,68,60,,68,70,,
,,,,,68,60,,68,70,
,,,,0,98,,1,39,,
,,,,,0,98,,1,39,
,,,,0,86,,1,33,,
,,,,,0,86,,1,33,
,,,,196,44,,141,63,,
,,,,,196,44,,141,63,
,,,,,,,,
,,,,,,,,
RATIOS DE CAPITAL (NORMATIVA BIS) (%),RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,
,,,,,,,,
,,,,9,50,,9,11,,
,,,,,9,50,,9,11,
,,,,11,90,,11,40,,
,,,,,11,90,,11,40,
,,,,12,40,,11,96,,
,,,,,12,40,,11,96,
,,,,,,,,
,,,,,,,,
INFORMACIÓN ADICIONAL,INFORMACIÓN ADICIONAL,,,,,,,
,,,,,,,,
,,,,355.988,,258.091,,
,,,,,355.988,,258.091,
,,,,13.324,,12.829,,
,,,,,13.324,,12.829,
,,,,130,,129,,
,,,,,130,,129,
,,,,27,,25,,
,,,,,27,,25,
