Name,Activity performed,Relationship under which activity is performed
José García Cantera,Banking,Employee of Banco Santander
Javier Antón San Pablo,Banking,Employee of Santander Consumer Finance
Iñaki Reyero Arregui,Banking,Employee of Banco Santander
José Antonio Soler Ramos,Banking,Employee of Banco Santander
Catalina Mejía García,Banking,Employee of Banco Santander
Cristina Álvarez Álvarez,Banking,Employee of Banco Santander
Francisco Javier Cortadellas Martínez,Banking,Employee of Banco Santander
María José Olmedilla González,Banking,Employee of Banco Santander
