,,,Outstanding,Outstanding
Status,No. Loans,No. Loans (%),,
,,,Balance (EUR),Balance (%)
,,,,
Employed,155,314,75.22%,1,608,324,215,77.76%
Pensioner,32,625,15.80%,283,869,138,13.72%
Other,18,530,8.97%,176,178,659,8.52%
Total,206,469,100.00%,2,068,372,012,100.00%
