,Oct-25,,,1.45%,
,Jan-26,,,1.75%,
,Apr-26,,,2.05%,
,Jul-26,,,2.45%,
,Oct-26,,,2.75%,
,Jan-27,,,3.15%,
,Apr-27,,,3.45%,
,Jul-27,,,3.75%,
,Oct-27,,,4.05%,
,Jan-28,,,4.35%,
,Apr-28,,,4.65%,
,Jul-28,,,4.95%,
,Oct-28,,,5.25%,
,Jan-29,,,5.65%,
,From Apr-29 (included) onwards,,,5.65%,
