,
,Annualised prepayment since the date of incorporation of the fund (FT
Period (year + month),
,Santander Consumo 5)
,
,
2023-12,10.21%
2024-03,12.37%
2024-06,14.22%
2024-09,14.24%
2024-12,15.01%
