CARTERA OPERACIONES DE DÍA 26 DE ENERO DE 2016
INFORMACIÓN RESPECTO LOS CRÉDITOS HIPOTECARIOS
Número de Número Disposiciones a Importe Disposiciones Importe dispuesto Importe primeras Importe segundas
Tipo operación créditos titulizar (Primeras y a titulizar (Primeras y total del crédito* disposiciones del disposiciones del
Segundas) Segundas) crédito* crédito*
Créditos Hipotecarios 88.895 1 18.439 10.950.672.524,87 12.079.117.252,33 2.151.310.762,05 9.927.806.490,28

