PASIVO Y PATRIMONIO NETO,,,Diciembre 2015
(miles de euros),,,Diciembre 2014
(miles de euros),,
,Cartera de negociación,,-,,,10,309,,
,Pasivos financieros a coste amortizado,,3,734,203,,,3,511,027,,
,Ajustes a pasivos financieros por macro coberturas,,-,,,-,,
,Derivados de cobertura,,4,317,,,9,358,,
,Provisiones,,75,548,,,82,385,,
,Pasivos fiscales,,24,774,,,16,164,,
,Resto de pasivos,,58,790,,,55,739,,
,TOTAL PASIVO,,,3,897,632,,,3,684,982,
,Fondos propios,,416,304,,,355,598,,
,Ajustes por valoración,,- 2,688,,,- 2,298,,
,TOTAL PATRIMONIO NETO,,,413,616,,,353,300,
,TOTAL PASIVO Y PATRIMONIO NETO,,,4,311,248,,,4,038,282,
