,Bonos Serie A2,,,,
Vida media (años),9,06,7,72,6,70,5,89,5,24
TIR,3,817%,3,817%,3,817%,3,817%,3,817%
Duración (años),6,97,6,11,5,43,4,87,4,41
Vencimiento final,18 01 2027,17 07 2024,18 07 2022,19 10 2020,17 04 2019
(en años),20,16,17,65,15,65,13,90,12,39
