Vida media (años),11,34,9,29,7,79
TIR,0,967%,0,968%,0,970%
Duración (años),10,37,8,60,7,29
Vencimiento final,20 12 2035,22 03 2032,20 03 2029
(en años),25,68,21,93,18,92
