Comunidad Autónoma,Sucursales
Galicia,47
Asturias,20
Castilla y León,75
Extremadura,21
Andalucía,159
Ceuta,6
Murcia,24
Valencia,129
Baleares,27
Castilla-La Mancha,140
Cantabria,24
País Vasco,32
Navarra,7
Aragón,25
Cataluña,235
Madrid,1.060
La Rioja,8
Canarias,25
Total,2.064
