Recursos Propios,,,
,31/12/2006,31/12/2007,30/09/2008*
(miles de euros),,,
,,,
Capital,903,00,903,00,903,00
Reservas,,,
Reserva Legal,180,60,180,60,180,60
Reservas Voluntarias,2.461,71,3.142,06,4.252,38
Perdidas y Ganancias,,,
Beneficio ejercicio,1.825,34,2.979,14,2.361,00
TOTAL,5.370,65,7.204,80,7.696,98
