,,,,,
IM CAJAMAR 3, FTA,,,,,
,Tipo de Interés,ESCENARIO,10% TAA,12% TAA,15% TAA
,,Vida media (años)
Duración
TIR,5,96
5,12
2,876%,5,28
4,59
2,876%,
,,Vida media (años)
Duración
TIR,9,87
8,22
3,011%,8,76
7,41
3,011%,
,,Vida media (años)
Duración
TIR,9,87
8,11
3,239%,8,76
7,32
3,239%,
,,Vida media (años)
Duración
TIR,9,87
7,42
4,827%,8,76
6,75
4,827%,
,,Vida media (años)
Duración
TIR,1,33
1,24
4,407%,1,34
1,25
4,407%,
,,,22/09/2020,22/03/2019,
