Situación,Aplicaciones,Centros
Precontencioso,Aplicación Mora/Fallidos,Unidad de recuperaciones
Contencioso,Agenda de gestión recuperatoria
/ Externalización / Centro de
información / Estrategias,Operaciones (prejudicial) / No
judicial (externalización) / CER
(judicial) / Unidad de Fallidos
