Nivel Ingresos
Familiares (I.F.),Adquirientes/
Adjudicatarios,Familia no numerosa,,Familia Numerosa,
,,Importe subsidiación
de la cuota,Años,Importe
subsidiación de la
cuota,Años
I.F.<2,5 veces el
IPREM,Adquirentes
viviendas nuevas
de régimen
especial y de
precio general,82 euros al año por
cada 10.000 euros de
préstamo concedido,5 (ampliable
a otros 5),132 euros al año
por cada 10.000
euros de préstamo
concedido,5 (ampliable a otros
5 pero la cuantía
será la misma que
la de Familia no
numerosa)
2,5 veces el
IPREM<
I.F.<=3,5 veces
IPREM,,48 euros al año por
cada 10.000 euros de
préstamo concedido,5,78 euros al año por
cada 10.000 euros
de préstamo
concedido,5
