Principal pendiente Préstamos
Tipo de persona
Importe (€) % Número de préstamos %
Persona Jurídica 36.712.185,38 4,2% 2.933 3,5%
Persona Física 827.957.173,72 95,8% 80.247 96,5%
Totales 864.669.359,10 100% 83.180 100%

