Retrasos en el pago de cuotas vencidas al día 30.06.2007,
Intervalo Préstamos Principal pendiente
hipotecarios
Días de vencer,Principal vencido no pagado
,% s/ Principal
pendiente total
Corriente de pagos 13.559 2.075.283.220,22
Entre 1 y 15 días 173 24.986.297,54 31.131,52 0,0014
Entre 16 y 30 días 814 122.061.385,90 115.842,27 0,0051
Entre 31 y 60 días 343 51.498.701,98 114.097,42 0,0050
Entre 61 y 90 días 75 11.568.475,31 41.314,62 0,0018,
Total 14.964 2.285.398.080,95 302.385,83 0,0132,
