Vida media (años),12,86,10,99,9,49,8,33,7,38
TIR,8,559%,8,559%,8,559%,8,559%,8,559%
Duración (años),7,10,6,46,5,90,5,41,4,97
Vencimiento final,27 04 2027,28 10 2024,27 07 2022,27 10 2020,29 04 2019
(en años),19,78,17,29,15,03,13,28,11,78
,,,,,
,Bonos Serie E,,,,
Vida media (años),14,71,12,69,10,99,9,67,8,57
TIR,8,559%,8,559%,8,559%,8,559%,8,559%
Duración (años),7,62,7,03,6,46,5,97,5,52
Vencimiento final,27 04 2027,28 10 2024,27 07 2022,27 10 2020,29 04 2019
(en años),19,78,17,29,15,03,13,28,11,78
