,,CAPITAL,,,NÚMERO DE,,,VALOR,
,,SUSCRITO,,,ACCIONES,,,NOMINAL,
Saldo a 31-12-2002
Saldo a 31-12-2003
Saldo a 31-12-2004,901.500 euros
901.500 euros
901.500 euros,,,150.000
150.000
150.000,,,6,01 euros
6,01 euros
6,01 euros,,
