,Entidad,,Importe Nominal Asegurado,,,,
,Aseguradora,,,,,,
,,,Bonos Serie A1,Bonos Serie A2,Bonos Serie B,Bonos Serie C,Bonos Serie D
Barclays Bank
PLC, actuando a
través de su
división de
banca de
inversión
Barclays Capital,,,217.500.000,590.000.000,11.000.000,10.800.000,10.700.000
Caja Madrid,,,,100.000.000,,,
BNP PARIBAS,
Sucursal en
España,,,,20.000.000,,,
Banco Pastor,,,,20.000.000,,,
Bancaja,,,,20.000.000,,,
TOTAL,,,217.500.000,750.000.000,11.000.000,10.800.000,10.700.000
