,,,Euros,
Gastos de Constitución,,,,
Tasas CNMV (emisión/admisión),,48.033,,
Tasas AIAF,,52.200,,
Tasas SOCIEDAD DE SISTEMAS,,2.900,,
Entidad de Calificación, Sociedad Gestora, asesores
legales y auditores, gastos notariales, publicaciones y
otros,,1.248.416,,
Subtotal,,,1.351.549,
Gastos de Emisión y Colocación,,,,
Comisión de Dirección,,100.000,,
Comisión de Aseguramiento y Colocación,,1.000.000,,
Subtotal,,,1.100.000,
TTOOTTAALL,,2.451.549,,
