,Bonos Serie A3,,,,
Vida media (años),13,81,11,62,9,93,8,60,7,55
TIR,4,270%,4,270%,4,270%,4,270%,4,270%
Duración (años),10,11,8,87,7,83,6,96,6,24
Vencimiento final,17 06 2022,17 03 2020,19 03 2018,19 09 2016,17 09 2015
(en años),15,23,12,98,10,98,9,48,8,48
