Entidad Importe nominal asegurado de cada Serie (euros)
Aseguradora y
Colocadora Bonos Bonos Bonos Bonos Bonos Bonos
Serie A1 Serie A2 Serie A3 Serie A4 Serie B Serie C,,,,,
,Bonos
Serie A1,Bonos Bonos
Serie A2 Serie A3,Bonos
Serie A4,Bonos
Serie B,Bonos
Serie C
BBVA
ABN AMRO
BNP PARIBAS
CITIGROUP
RBS
BARCLAYS
CALYON
IXIS CIB
WACHOVIA
SECURITIES,190.000.000,00 472.000.000,00 77.500.000,00 210.000.000,00 22.500.000,00 20.000.000,00
190.000.000,00 472.000.000,00 77.500.000,00 210.000.000,00 22.500.000,00 20.000.000,00
190.000.000,00 472.000.000,00 77.500.000,00 210.000.000,00 22.500.000,00 20.000.000,00
190.000.000,00 472.000.000,00 77.500.000,00 210.000.000,00 22.500.000,00 20.000.000,00
190.000.000,00 472.000.000,00 77.500.000,00 210.000.000,00 22.500.000,00 20.000.000,00
0,00 10.000.000,00 0,00 0,00 0,00 0,00
0,00 10.000.000,00 0,00 0,00 0,00 0,00
0,00 10.000.000,00 0,00 0,00 0,00 0,00
0,00 10.000.000,00 0,00 0,00 0,00 0,00,,,,
Total,950.000.000,00 2.400.000.000,00 387.500.000,00 1.050.000.000,00 112.500.000,00 100.000.000,00,,,,
