Principal sobre el que se calculan los intereses del primer Periodo de Devengo en euros: 100.000,,,,,,,,
,,,,,,,,Euros
Intereses devengados por un Bono A:,,100.000,x,105/360,x,2,255%,=,657,71
Intereses devengados por un Bono B:,,100.000,x,105/360,x,2,485%,=,724,79
